sep=;
"SCHEDULE";"GROUP";"LINE";"BLACKOUT";"NEXUS";"BARGE";"OFFSITE";"COMMENT";"DAY_001";"DAY_002";"DAY_003";"DAY_004";"DAY_005";"DAY_006";"DAY_007";"DAY_008";"DAY_009";"DAY_010";"DAY_011";"DAY_012";"DAY_013";"DAY_014";"DAY_015";"DAY_016";"DAY_017";"DAY_018";"DAY_019";"DAY_020";"DAY_021";"DAY_022";"DAY_023";"DAY_024";"DAY_025";"DAY_026";"DAY_027";"DAY_028";"DAY_029";"DAY_030";"DAY_031";"DAY_032";"DAY_033";"DAY_034";"DAY_035";"DAY_036";"DAY_037";"DAY_038";"DAY_039";"DAY_040";"DAY_041";"DAY_042";"DAY_043";"DAY_044";"DAY_045";"DAY_046";"DAY_047";"DAY_048";"DAY_049";"DAY_050";"DAY_051";"DAY_052";"DAY_053";"DAY_054";"DAY_055";"DAY_056"
"Import Errors";"OIDP";"11";"";"";"";"";"Unknown schedule: Begin March 01, 2022";"20AU";"20AU";"20AU";"20AU";"20AU";"----";"----";"----";"13AZ";"13AZ";"13AZ";"13AZ";"----";"----";"----";"----";"12CN";"12CN";"12CN";"12CN";"12CN";"----";"----";"----";"----";"----";"13AZ";"13AZ";"13AZ";"----";"----";"----";"----";"06BM";"06BM";"06BM";"06BM";"----";"----";"----";"12CN";"12CN";"12CN";"12CN";"----";"----";"----";"----";"13AZ";"13AZ";"13AZ";"13AZ";"13AZ";"----";"----";"----"
"Import Errors";"OIDP";"12";"";"";"";"";"Unknown schedule: Begin March 01, 2022";"20AU";"20AU";"20AU";"20AU";"20AU";"----";"----";"----";"13AZ";"13AZ";"13AZ";"13AZ";"----";"----";"----";"----";"12CN";"12CN";"12CN";"12CN";"12CN";"----";"----";"----";"----";"----";"13AZ";"13AZ";"13AZ";"----";"----";"----";"----";"06BM";"06BM";"06BM";"06BM";"----";"----";"----";"12CN";"12CN";"12CN";"12CN";"----";"----";"----";"----";"13AZ";"13AZ";"13AZ";"13AZ";"13AZ";"----";"----";"----"
"Import Errors";"OIDP";"13";"";"";"";"";"Unknown schedule: Begin March 01, 2022";"----";"13AZ";"13AZ";"13AZ";"13AZ";"----";"----";"----";"----";"12CN";"12CN";"12CN";"12CN";"12CN";"----";"----";"----";"----";"----";"13AZ";"13AZ";"13AZ";"----";"----";"----";"----";"06BM";"06BM";"06BM";"06BM";"----";"----";"----";"12CN";"12CN";"12CN";"12CN";"----";"----";"----";"----";"13AZ";"13AZ";"13AZ";"13AZ";"13AZ";"----";"----";"----";"20AU";"20AU";"20AU";"20AU";"20AU";"----";"----"
"Import Errors";"OIDP";"14";"";"";"";"";"Unknown schedule: Begin March 01, 2022";"----";"13AZ";"13AZ";"13AZ";"13AZ";"----";"----";"----";"----";"12CN";"12CN";"12CN";"12CN";"12CN";"----";"----";"----";"----";"----";"13AZ";"13AZ";"13AZ";"----";"----";"----";"----";"06BM";"06BM";"06BM";"06BM";"----";"----";"----";"12CN";"12CN";"12CN";"12CN";"----";"----";"----";"----";"13AZ";"13AZ";"13AZ";"13AZ";"13AZ";"----";"----";"----";"20AU";"20AU";"20AU";"20AU";"20AU";"----";"----"
"Import Errors";"OIDP";"15";"";"";"";"";"Unknown schedule: Begin March 01, 2022";"----";"----";"12CN";"12CN";"12CN";"12CN";"12CN";"----";"----";"----";"----";"----";"13AZ";"13AZ";"13AZ";"----";"----";"----";"----";"06BM";"06BM";"06BM";"06BM";"----";"----";"----";"12CN";"12CN";"12CN";"12CN";"----";"----";"----";"----";"13AZ";"13AZ";"13AZ";"13AZ";"13AZ";"----";"----";"----";"20AU";"20AU";"20AU";"20AU";"20AU";"----";"----";"----";"13AZ";"13AZ";"13AZ";"13AZ";"----";"----"
"Import Errors";"OIDP";"16";"";"";"";"";"Unknown schedule: Begin March 01, 2022";"----";"----";"12CN";"12CN";"12CN";"12CN";"12CN";"----";"----";"----";"----";"----";"13AZ";"13AZ";"13AZ";"----";"----";"----";"----";"06BM";"06BM";"06BM";"06BM";"----";"----";"----";"12CN";"12CN";"12CN";"12CN";"----";"----";"----";"----";"13AZ";"13AZ";"13AZ";"13AZ";"13AZ";"----";"----";"----";"20AU";"20AU";"20AU";"20AU";"20AU";"----";"----";"----";"13AZ";"13AZ";"13AZ";"13AZ";"----";"----"
"Import Errors";"OIDP";"17";"";"";"";"";"Unknown schedule: Begin March 01, 2022";"----";"----";"----";"----";"----";"13AZ";"13AZ";"13AZ";"----";"----";"----";"----";"06BM";"06BM";"06BM";"06BM";"----";"----";"----";"12CN";"12CN";"12CN";"12CN";"----";"----";"----";"----";"13AZ";"13AZ";"13AZ";"13AZ";"13AZ";"----";"----";"----";"20AU";"20AU";"20AU";"20AU";"20AU";"----";"----";"----";"13AZ";"13AZ";"13AZ";"13AZ";"----";"----";"----";"----";"12CN";"12CN";"12CN";"12CN";"12CN"
"Import Errors";"OIDP";"18";"";"";"";"";"Unknown schedule: Begin March 01, 2022";"----";"----";"----";"----";"----";"13AZ";"13AZ";"13AZ";"----";"----";"----";"----";"06BM";"06BM";"06BM";"06BM";"----";"----";"----";"12CN";"12CN";"12CN";"12CN";"----";"----";"----";"----";"13AZ";"13AZ";"13AZ";"13AZ";"13AZ";"----";"----";"----";"20AU";"20AU";"20AU";"20AU";"20AU";"----";"----";"----";"13AZ";"13AZ";"13AZ";"13AZ";"----";"----";"----";"----";"12CN";"12CN";"12CN";"12CN";"12CN"
"Import Errors";"OIDP";"19";"1";"";"";"";"Unknown schedule: Begin March 01, 2022";"----";"----";"----";"----";"----";"13AZ";"13AZ";"13AZ";"----";"----";"----";"----";"06BM";"06BM";"06BM";"06BM";"----";"----";"----";"12CN";"12CN";"12CN";"12CN";"----";"----";"----";"----";"13AZ";"13AZ";"13AZ";"13AZ";"13AZ";"----";"----";"----";"20AU";"20AU";"20AU";"20AU";"20AU";"----";"----";"----";"13AZ";"13AZ";"13AZ";"13AZ";"----";"----";"----";"----";"12CN";"12CN";"12CN";"12CN";"12CN"
"Import Errors";"IRPA";"1";"";"";"";"";"Unknown schedule: Begin March 01, 2022";"08FN";"08FN";"----";"----";"----";"----";"06BM";"06BM";"06BM";"06BM";"06BM";"----";"----";"----";"----";"----";"10BG";"10BG";"10BG";"10BG";"10BG";"----";"----";"----";"----";"10BG";"10BG";"10BG";"10BG";"10BG";"----";"----";"----";"----";"----";"13AZ";"13AZ";"13AZ";"13AZ";"13AZ";"----";"----";"----";"----";"13AZ";"13AZ";"13AZ";"13AZ";"13AZ";"----";"----";"----";"----";"08FN";"08FN";"08FN"
"Import Errors";"IRPA";"2";"";"";"";"";"Unknown schedule: Begin March 01, 2022";"06BM";"06BM";"----";"----";"----";"----";"10BG";"10BG";"10BG";"10BG";"10BG";"----";"----";"----";"----";"08FN";"08FN";"08FN";"08FN";"08FN";"----";"----";"----";"----";"----";"08FN";"08FN";"08FN";"08FN";"08FN";"----";"----";"----";"----";"06BM";"06BM";"06BM";"06BM";"06BM";"----";"----";"----";"----";"06BM";"06BM";"06BM";"06BM";"06BM";"----";"----";"----";"----";"----";"06BM";"06BM";"06BM"
"Import Errors";"IRPA";"3";"";"";"";"";"Unknown schedule: Begin March 01, 2022";"13AZ";"13AZ";"----";"----";"----";"----";"----";"06BM";"06BM";"06BM";"06BM";"06BM";"----";"----";"----";"----";"06BM";"06BM";"06BM";"06BM";"06BM";"----";"----";"----";"----";"13AZ";"13AZ";"13AZ";"13AZ";"13AZ";"----";"----";"----";"----";"----";"10BG";"10BG";"10BG";"10BG";"10BG";"----";"----";"----";"----";"06BM";"06BM";"06BM";"06BM";"06BM";"----";"----";"----";"----";"13AZ";"13AZ";"13AZ"
"Import Errors";"IRPA";"4";"";"";"";"";"Unknown schedule: Begin March 01, 2022";"10BG";"10BG";"----";"----";"----";"----";"13AZ";"13AZ";"13AZ";"13AZ";"13AZ";"----";"----";"----";"----";"----";"13AZ";"13AZ";"13AZ";"13AZ";"13AZ";"----";"----";"----";"----";"06BM";"06BM";"06BM";"06BM";"06BM";"----";"----";"----";"----";"06BM";"06BM";"06BM";"06BM";"06BM";"----";"----";"----";"----";"----";"08FN";"08FN";"08FN";"08FN";"08FN";"----";"----";"----";"----";"10BG";"10BG";"10BG"
"Import Errors";"IRPA";"5";"";"";"";"";"Unknown schedule: Begin March 01, 2022";"----";"----";"----";"----";"08FN";"08FN";"08FN";"08FN";"08FN";"----";"----";"----";"----";"13AZ";"13AZ";"13AZ";"13AZ";"13AZ";"----";"----";"----";"----";"13AZ";"13AZ";"13AZ";"13AZ";"13AZ";"----";"----";"----";"----";"----";"10BG";"10BG";"10BG";"10BG";"10BG";"----";"----";"----";"----";"13AZ";"13AZ";"13AZ";"13AZ";"13AZ";"----";"----";"----";"----";"08FN";"08FN";"08FN";"08FN";"08FN";"----"
"Import Errors";"IRPA";"6";"";"";"";"";"Unknown schedule: Begin March 01, 2022";"----";"----";"----";"----";"13AZ";"13AZ";"13AZ";"13AZ";"13AZ";"----";"----";"----";"----";"----";"13AZ";"13AZ";"13AZ";"13AZ";"13AZ";"----";"----";"----";"----";"10BG";"10BG";"10BG";"10BG";"10BG";"----";"----";"----";"----";"13AZ";"13AZ";"13AZ";"13AZ";"13AZ";"----";"----";"----";"----";"----";"10BG";"10BG";"10BG";"10BG";"10BG";"----";"----";"----";"----";"06BM";"06BM";"06BM";"06BM";"06BM"
"Import Errors";"IRPA";"7";"";"";"";"";"Unknown schedule: Begin March 01, 2022";"----";"----";"----";"----";"08FN";"08FN";"08FN";"08FN";"08FN";"----";"----";"----";"----";"06BM";"06BM";"06BM";"06BM";"06BM";"----";"----";"----";"----";"06BM";"06BM";"06BM";"06BM";"06BM";"----";"----";"----";"----";"----";"08FN";"08FN";"08FN";"08FN";"08FN";"----";"----";"----";"----";"13AZ";"13AZ";"13AZ";"13AZ";"13AZ";"----";"----";"----";"----";"13AZ";"13AZ";"13AZ";"13AZ";"13AZ";"----"
"Import Errors";"IRPA";"8";"";"";"";"";"Unknown schedule: Begin March 01, 2022";"----";"13AZ";"13AZ";"13AZ";"13AZ";"13AZ";"----";"----";"----";"----";"----";"06BM";"06BM";"06BM";"06BM";"06BM";"----";"----";"----";"----";"06BM";"06BM";"06BM";"06BM";"06BM";"----";"----";"----";"----";"06BM";"06BM";"06BM";"06BM";"06BM";"----";"----";"----";"----";"----";"10BG";"10BG";"10BG";"10BG";"10BG";"----";"----";"----";"----";"10BG";"10BG";"10BG";"10BG";"10BG";"----";"----";"----"
"Import Errors";"IRPA";"9";"";"";"";"";"Unknown schedule: Begin March 01, 2022";"----";"10BG";"10BG";"10BG";"10BG";"10BG";"----";"----";"----";"----";"----";"08FN";"08FN";"08FN";"08FN";"08FN";"----";"----";"----";"----";"13AZ";"13AZ";"13AZ";"13AZ";"13AZ";"----";"----";"----";"----";"10BG";"10BG";"10BG";"10BG";"10BG";"----";"----";"----";"----";"----";"06BM";"06BM";"06BM";"06BM";"06BM";"----";"----";"----";"----";"06BM";"06BM";"06BM";"06BM";"06BM";"----";"----";"----"
"Import Errors";"IRPA";"10";"";"";"";"";"Unknown schedule: Begin March 01, 2022";"----";"----";"06BM";"06BM";"06BM";"06BM";"06BM";"----";"----";"----";"----";"13AZ";"13AZ";"13AZ";"13AZ";"13AZ";"----";"----";"----";"----";"----";"10BG";"10BG";"10BG";"10BG";"10BG";"----";"----";"----";"----";"06BM";"06BM";"06BM";"06BM";"06BM";"----";"----";"----";"----";"08FN";"08FN";"08FN";"08FN";"08FN";"----";"----";"----";"----";"----";"06BM";"06BM";"06BM";"06BM";"06BM";"----";"----"
"Import Errors";"IRPA";"11";"";"";"";"";"Unknown schedule: Begin March 01, 2022";"----";"----";"06BM";"06BM";"06BM";"06BM";"06BM";"----";"----";"----";"----";"10BG";"10BG";"10BG";"10BG";"10BG";"----";"----";"----";"----";"----";"08FN";"08FN";"08FN";"08FN";"08FN";"----";"----";"----";"----";"13AZ";"13AZ";"13AZ";"13AZ";"13AZ";"----";"----";"----";"----";"06BM";"06BM";"06BM";"06BM";"06BM";"----";"----";"----";"----";"----";"13AZ";"13AZ";"13AZ";"13AZ";"13AZ";"----";"----"
"Import Errors";"IRPA";"12";"";"";"";"";"Unknown schedule: Begin March 01, 2022";"08FN";"08FN";"08FN";"08FN";"----";"----";"----";"----";"13AZ";"13AZ";"13AZ";"13AZ";"13AZ";"----";"----";"----";"----";"----";"13AZ";"13AZ";"13AZ";"13AZ";"13AZ";"----";"----";"----";"----";"13AZ";"13AZ";"13AZ";"13AZ";"13AZ";"----";"----";"----";"----";"08FN";"08FN";"08FN";"08FN";"08FN";"----";"----";"----";"----";"----";"08FN";"08FN";"08FN";"08FN";"08FN";"----";"----";"----";"----";"08FN"
"Import Errors";"IRPA";"13";"";"";"";"";"Unknown schedule: Begin March 01, 2022";"06BM";"06BM";"06BM";"06BM";"06BM";"----";"----";"----";"----";"06BM";"06BM";"06BM";"06BM";"06BM";"----";"----";"----";"----";"06BM";"06BM";"06BM";"06BM";"06BM";"----";"----";"----";"----";"06BM";"06BM";"06BM";"06BM";"06BM";"----";"----";"----";"----";"----";"13AZ";"13AZ";"13AZ";"13AZ";"13AZ";"----";"----";"----";"----";"13AZ";"13AZ";"13AZ";"13AZ";"13AZ";"----";"----";"----";"----";"----"
"Import Errors";"IRPA";"14";"";"";"";"";"Unknown schedule: Begin March 01, 2022";"13AZ";"13AZ";"13AZ";"13AZ";"----";"----";"----";"----";"----";"08FN";"08FN";"08FN";"08FN";"08FN";"----";"----";"----";"----";"08FN";"08FN";"08FN";"08FN";"08FN";"----";"----";"----";"----";"08FN";"08FN";"08FN";"08FN";"08FN";"----";"----";"----";"----";"13AZ";"13AZ";"13AZ";"13AZ";"13AZ";"----";"----";"----";"----";"----";"10BG";"10BG";"10BG";"10BG";"10BG";"----";"----";"----";"----";"13AZ"
"Import Errors";"TRAFFIC";"1";"";"";"";"";"Unknown schedule: Begin March 01, 2022";"????";"06BM";"----";"----";"----";"----";"06BM";"06BM";"06BM";"06BM";"06BM";"----";"----";"----";"----";"06BM";"06BM";"06BM";"06BM";"06BM";"----";"----";"----";"----";"----";"06BM";"06BM";"06BM";"06BM";"06BM";"----";"----";"----";"----";"06BM";"06BM";"06BM";"06BM";"06BM";"----";"----";"----";"----";"06BM";"06BM";"06BM";"06BM";"06BM";"----";"----";"----";"----";"----";"06BM";"06BM";"06BM"
"Import Errors";"TRAFFIC";"2";"";"";"";"";"Unknown schedule: Begin March 01, 2022";"????";"06BM";"06BM";"06BM";"----";"----";"----";"----";"06BM";"06BM";"06BM";"06BM";"06BM";"----";"----";"----";"----";"----";"06BM";"06BM";"06BM";"06BM";"06BM";"----";"----";"----";"----";"06BM";"06BM";"06BM";"06BM";"06BM";"----";"----";"----";"----";"06BM";"06BM";"06BM";"06BM";"06BM";"----";"----";"----";"----";"----";"06BM";"06BM";"06BM";"06BM";"06BM";"----";"----";"----";"----";"06BM"
"Import Errors";"TRAFFIC";"2a";"";"";"";"";"Unknown schedule: Begin March 01, 2022";"????";"06BM";"06BM";"06BM";"----";"----";"----";"----";"06BM";"06BM";"06BM";"06BM";"06BM";"----";"----";"----";"----";"----";"06BM";"06BM";"06BM";"06BM";"06BM";"----";"----";"----";"----";"06BM";"06BM";"06BM";"06BM";"06BM";"----";"----";"----";"----";"06BM";"06BM";"06BM";"06BM";"06BM";"----";"----";"----";"----";"----";"06BM";"06BM";"06BM";"06BM";"06BM";"----";"----";"----";"----";"06BM"
"Import Errors";"TRAFFIC";"3";"";"";"";"";"Unknown schedule: Begin March 01, 2022";"????";"06BM";"06BM";"06BM";"06BM";"06BM";"----";"----";"----";"----";"----";"06BM";"06BM";"06BM";"06BM";"06BM";"----";"----";"----";"----";"06BM";"06BM";"06BM";"06BM";"06BM";"----";"----";"----";"----";"06BM";"06BM";"06BM";"06BM";"06BM";"----";"----";"----";"----";"----";"06BM";"06BM";"06BM";"06BM";"06BM";"----";"----";"----";"----";"06BM";"06BM";"06BM";"06BM";"06BM";"----";"----";"----"
"Import Errors";"TRAFFIC";"4";"";"";"";"";"Unknown schedule: Begin March 01, 2022";"????";"----";"----";"----";"06BM";"06BM";"06BM";"06BM";"06BM";"----";"----";"----";"----";"----";"06BM";"06BM";"06BM";"06BM";"06BM";"----";"----";"----";"----";"06BM";"06BM";"06BM";"06BM";"06BM";"----";"----";"----";"----";"06BM";"06BM";"06BM";"06BM";"06BM";"----";"----";"----";"----";"----";"06BM";"06BM";"06BM";"06BM";"06BM";"----";"----";"----";"----";"06BM";"06BM";"06BM";"06BM";"06BM"
"Import Errors";"TRAFFIC";"4a";"";"";"";"";"Unknown schedule: Begin March 01, 2022";"????";"----";"----";"----";"06BM";"06BM";"06BM";"06BM";"06BM";"----";"----";"----";"----";"----";"06BM";"06BM";"06BM";"06BM";"06BM";"----";"----";"----";"----";"06BM";"06BM";"06BM";"06BM";"06BM";"----";"----";"----";"----";"06BM";"06BM";"06BM";"06BM";"06BM";"----";"----";"----";"----";"----";"06BM";"06BM";"06BM";"06BM";"06BM";"----";"----";"----";"----";"06BM";"06BM";"06BM";"06BM";"06BM"
"Import Errors";"TRAFFIC";"5";"";"";"";"";"Unknown schedule: Begin March 01, 2022";"????";"----";"----";"----";"----";"06BM";"06BM";"----";"----";"06BM";"06BM";"06BM";"06BM";"----";"----";"06BM";"06BM";"06BM";"----";"----";"06BM";"06BM";"06BM";"----";"----";"----";"06BM";"06BM";"06BM";"----";"----";"----";"----";"06BM";"06BM";"----";"----";"06BM";"06BM";"06BM";"06BM";"----";"----";"06BM";"06BM";"06BM";"----";"----";"06BM";"06BM";"06BM";"----";"----";"----";"06BM";"06BM"
"Import Errors";"TRAFFIC";"6";"";"";"";"";"Unknown schedule: Begin March 01, 2022";"????";"06BM";"----";"----";"----";"06BM";"06BM";"06BM";"----";"----";"----";"----";"06BM";"06BM";"----";"----";"06BM";"06BM";"06BM";"06BM";"----";"----";"06BM";"06BM";"06BM";"----";"----";"06BM";"06BM";"06BM";"----";"----";"----";"06BM";"06BM";"06BM";"----";"----";"----";"----";"06BM";"06BM";"----";"----";"06BM";"06BM";"06BM";"06BM";"----";"----";"06BM";"06BM";"06BM";"----";"----";"06BM"
"Import Errors";"TRAFFIC";"7";"";"";"";"";"Unknown schedule: Begin March 01, 2022";"????";"06BM";"06BM";"06BM";"----";"----";"06BM";"06BM";"06BM";"----";"----";"----";"06BM";"06BM";"06BM";"----";"----";"----";"----";"06BM";"06BM";"----";"----";"06BM";"06BM";"06BM";"06BM";"----";"----";"06BM";"06BM";"06BM";"----";"----";"06BM";"06BM";"06BM";"----";"----";"----";"06BM";"06BM";"06BM";"----";"----";"----";"----";"06BM";"06BM";"----";"----";"06BM";"06BM";"06BM";"06BM";"----"
"Import Errors";"TRAFFIC";"8";"";"";"";"";"Unknown schedule: Begin March 01, 2022";"????";"----";"06BM";"06BM";"06BM";"06BM";"----";"----";"06BM";"06BM";"06BM";"----";"----";"06BM";"06BM";"06BM";"----";"----";"----";"06BM";"06BM";"06BM";"----";"----";"----";"----";"06BM";"06BM";"----";"----";"06BM";"06BM";"06BM";"06BM";"----";"----";"06BM";"06BM";"06BM";"----";"----";"06BM";"06BM";"06BM";"----";"----";"----";"06BM";"06BM";"06BM";"----";"----";"----";"----";"06BM";"06BM"
"Import Errors";"TRAFFIC";"9";"";"";"";"";"Unknown schedule: Begin March 01, 2022 / Unknown shift code(s): G";"????";"----";"----";"----";"----";"08FN";"08FN";"----";"----";"08FN";"08FN";"08FN";"08FN";"----";"----";"08FN";"08FN";"08FN";"----";"----";"08FN";"08FN";"08FN";"----";"----";"----";"08FN";"08FN";"08FN";"----";"----";"----";"----";"08FN";"08FN";"----";"----";"08FN";"08FN";"08FN";"08FN";"----";"----";"08FN";"08FN";"08FN";"----";"----";"08FN";"08FN";"08FN";"----";"----";"----";"08FN";"????"
"Import Errors";"TRAFFIC";"10";"";"";"";"";"Unknown schedule: Begin March 01, 2022";"????";"08FN";"----";"----";"----";"----";"08FN";"08FN";"08FN";"08FN";"08FN";"----";"----";"----";"----";"08FN";"08FN";"08FN";"08FN";"08FN";"----";"----";"----";"----";"----";"08FN";"08FN";"08FN";"08FN";"08FN";"----";"----";"----";"----";"08FN";"08FN";"08FN";"08FN";"08FN";"----";"----";"----";"----";"08FN";"08FN";"08FN";"08FN";"08FN";"----";"----";"----";"----";"----";"08FN";"08FN";"08FN"
"Import Errors";"TRAFFIC";"11";"";"";"";"";"Unknown schedule: Begin March 01, 2022";"????";"----";"08FN";"08FN";"08FN";"08FN";"----";"----";"08FN";"08FN";"08FN";"----";"----";"08FN";"08FN";"08FN";"----";"----";"----";"08FN";"08FN";"08FN";"----";"----";"----";"----";"08FN";"08FN";"----";"----";"08FN";"08FN";"08FN";"08FN";"----";"----";"08FN";"08FN";"08FN";"----";"----";"08FN";"08FN";"08FN";"----";"----";"----";"08FN";"08FN";"08FN";"----";"----";"----";"----";"08FN";"08FN"
